Name,Price,Stores,Rating,Votes,Type,Connection,Switches
FanTech MVP-861 Commander,68.2,0,0.0,0,Keyboard Only,USB,Outemu Blue
FanTech Pantheon MK871 Tournament Edition,64.0,2,5.0,2,Keyboard Only,USB,Kailh Blue
Gamdias Hermes E2,39.0,0,0.0,0,Keyboard Only,USB,Gamdias Blue
Gamdias Hermes P2,77.9,2,5.0,1,Keyboard Only,USB,Gamdias Optical Switch
Gamesir GK100,44.9,0,4.4,5,Keyboard Only,USB,TTC Blue
Gamesir VX AimSwitch,119.9,0,5.0,1,Keyboard Combo,Wireless / USB,TTC Blue
Gamesir VX2 AimSwitch (Custom Red),149.9,0,0.0,0,Keyboard Combo,Wireless / USB,TTC Blue
Geeklin Mechanical Gaming Keyboard,78.86,2,0.0,0,Keyboard Only,USB,Outemu Blue
Genesis Thor 200 RGB,33.21,9,4.0,7,Keyboard Only,USB,Outemu Blue
Genesis Thor 300 (Outemu Blue),47.0,1,2.5,2,Keyboard Only,USB,Outemu Blue
Genesis Thor 300 (Outemu Red),31.89,2,3.3,22,Keyboard Only,USB,Outemu Red
Genesis Thor 300 TKL (Outemu Blue),39.9,2,5.0,2,Keyboard Only,USB,Outemu Blue
Genesis Thor 300 TKL (Outemu Red),55.0,0,4.4,17,Keyboard Only,USB,Outemu Red
Genesis Thor 420 RGB (Custom Blue),52.23,1,0.0,0,Keyboard Only,USB,Kalih Blue
Gigabyte Force K81,49.9,0,0.0,0,Keyboard Only,USB,Kailh Red
Gigabyte Force K85,92.65,0,3.5,2,Keyboard Only,USB,Cherry MX Red
Glorious PC Gaming Race The GMMK TKL (Gateron Brown),129.99,0,0.0,0,Keyboard Only,USB,Gateron Brown
Havit HV-KB432L,55.0,6,0.0,0,Keyboard Only,USB,Outemu Blue
Havit HV-KB492L,45.0,6,0.0,0,Keyboard Only,USB,Outemu Blue
Havit KB435L,49.0,4,4.0,2,Keyboard Only,USB,Outemu Blue
Havit KB462L,65.0,5,0.0,0,Keyboard Only,USB,Outemu Blue
Havit KB473L,99.0,3,0.0,0,Keyboard Only,USB,Outemu Blue
HP Encoder (Cherry MX Brown),123.0,7,0.0,0,Keyboard Only,USB,Cherry MX Brown
HP Encoder (Cherry MX Red),123.0,8,0.0,0,Keyboard Only,USB,Cherry MX Red
HP Omen 1100,69.9,17,5.0,1,Keyboard Only,USB,Cherry MX Red
HyperX Alloy Elite RGB (Cherry MX Blue),124.84,2,5.0,4,Keyboard Only,USB,Cherry MX Blue
HyperX Alloy Elite RGB (Cherry MX Red),127.9,4,4.8,6,Keyboard Only,USB,Cherry MX Red
HyperX Alloy FPS (Cherry MX Blue),89.9,0,4.6,25,Keyboard Only,USB,Cherry MX Blue
HyperX Alloy FPS (Cherry MX Red),100.61,0,4.6,25,Keyboard Only,USB,Cherry MX Red
HyperX Alloy FPS Pro (Cherry MX Blue),78.1,7,4.5,37,Keyboard Only,USB,Cherry MX Blue
HyperX Alloy FPS Pro (Cherry MX Red),75.0,12,4.5,37,Keyboard Only,USB,Cherry MX Red
HyperX Alloy FPS RGB,94.08,9,4.8,13,Keyboard Only,USB,Kailh Speed Silver
HyperX Alloy Origins,115.99,10,5.0,8,Keyboard Only,USB,HyperX Aqua
HyperX Alloy Origins (HyperX Red),109.0,6,5.0,8,Keyboard Only,USB,HyperX Red
HyperX Alloy Origins Core Mechanical Gaming Keyboard (HyperX Aqua),109.99,0,4.0,1,Keyboard Only,USB,HyperX Aqua
HyperX Alloy Origins TKL (HyperX Red),104.0,13,5.0,8,Keyboard Only,USB,HyperX Red
HyperX HyperX Alloy Elite 2 (HyperX Red),159.99,0,0.0,0,Keyboard Only,USB,HyperX Red
iMice MK-X80 (Custom Blue),54.43,6,0.0,0,Keyboard Only,USB,Outemu Blue
Lenovo Legion K500 RGB,115.9,4,0.0,0,Keyboard Only,USB,Outemu Red
Logitech G Pro,127.58,18,4.2,25,Keyboard Only,USB,GX Blue
Logitech G413 Black,72.9,22,4.6,74,Keyboard Only,USB,Romer-G Tactile
Logitech G413 Silver,68.99,28,4.6,74,Keyboard Only,USB,Romer-G Tactile
Logitech G512 (GX Brown),119.9,0,0.0,0,Keyboard Only,USB,GX Brown
Logitech G512 (GX Red),119.9,2,0.0,0,Keyboard Only,USB,GX Red
Logitech G512 Carbon (GX Blue),99.9,13,4.9,11,Keyboard Only,USB,GX Blue
Logitech G512 SE RGB,99.9,7,4.6,11,Keyboard Only,USB,GX Blue
Logitech G513 (GX Brown),181.0,0,0.0,0,Keyboard Only,USB,GX Brown
Logitech G513 Carbon (GX Blue),179.9,4,4.5,24,Keyboard Only,USB,GX Blue
Logitech G513 Carbon (Romer-G Linear),139.0,0,4.5,24,Keyboard Only,USB,Romer-G Linear
Logitech G513 Carbon (Romer-G Tactile),139.0,8,4.5,24,Keyboard Only,USB,Romer-G Tactile
Logitech G613,99.98,16,4.4,8,Keyboard Only,USB,Romer-G Tactile
Logitech G815 Lightsync RGB (GL Clicky),179.9,6,5.0,1,Keyboard Only,USB,GL Clicky
Logitech G815 Lightsync RGB (GL Linear),213.3,0,5.0,1,Keyboard Only,USB,GL Linear
Logitech G815 Lightsync RGB (GL Tactile),179.9,7,5.0,1,Keyboard Only,USB,GL Tactile
Logitech G910 Orion Spectrum,125.0,4,4.1,24,Keyboard Only,USB,Romer-G Tactile
Logitech G915 Lightspeed (GL Clicky),229.9,7,5.0,5,Keyboard Only,USB / Wireless,GL Clicky
Logitech G915 Lightspeed (GL Linear),260.0,2,5.0,5,Keyboard Only,USB / Wireless,GL Linear
Logitech G915 Lightspeed (GL Tactile),241.28,2,5.0,5,Keyboard Only,USB / Wireless,GL Tactile
Logitech G915 TKL (GL Clicky),229.0,0,0.0,0,Keyboard Only,USB / Wireless,GL Clicky
Logitech G915 TKL (GL Linear),229.0,0,0.0,0,Keyboard Only,USB / Wireless,GL Linear
Logitech G915 TKL (GL Tactile),229.0,0,0.0,0,Keyboard Only,USB / Wireless,GL Tactile
Marvo KG909,37.3,5,0.0,0,Keyboard Only,USB,Outemu Blue
Marvo KG914,35.5,0,0.0,0,Keyboard Only,USB,Outemu Blue
Marvo KG922,29.9,0,4.0,4,Keyboard Only,USB,Outemu Blue
Marvo KG959G,44.64,5,5.0,1,Keyboard Only,USB,Outemu Blue
Media-Tech Cobra Pro Inferno,55.0,26,0.0,0,Keyboard Only,USB,Cyan AX
Mobilis Keywin Ak47,26.9,2,0.0,0,Keyboard Only,USB,Outemu Blue
Modecom Volcano Hammer RGB (Outemu Red),23.0,4,0.0,0,Keyboard Only,USB,Outemu Red
Motospeed CK101 Black (Outemu Blue),39.0,8,4.0,22,Keyboard Only,USB,Outemu Blue
